Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Customized decision tree-based approach for classification of soil on cloud environment","Computing","","105","6","10.1007/s00607-022-01144-8","K. Aditya ShastryH. A. Sanjay","2023","http://link.springer.com/article/10.1007/s00607-022-01144-8","Article"
"A scalable approach towards decentralized electronic toll collection system using Solana and RFID","International Journal of Information Technology","","","","10.1007/s41870-023-01539-6","Khan Maaz Bin HasanMohammad Ubaidullah BokhariBasil Hanafi","2023","http://link.springer.com/article/10.1007/s41870-023-01539-6","Article"
"A multilayer stacking classifier based on nature-inspired optimization for detecting cross-site scripting attack","International Journal of Information Technology","","15","8","10.1007/s41870-023-01459-5","Seema SharmaNarendra Singh Yadav","2023","http://link.springer.com/article/10.1007/s41870-023-01459-5","Article"
"Energy-efficient virtual machine placement algorithm based on power usage","Computing","","105","7","10.1007/s00607-023-01152-2","Shilpa SunilSanjeev Patel","2023","http://link.springer.com/article/10.1007/s00607-023-01152-2","Article"
"Transforming legal text interactions: leveraging natural language processing and large language models for legal support in Palestinian cooperatives","International Journal of Information Technology","","16","1","10.1007/s41870-023-01584-1","Mohammed MareeRabee Al-QasemBanan Tantour","2024","http://link.springer.com/article/10.1007/s41870-023-01584-1","Article"
"Optimized classification model for plant diseases using generative adversarial networks","Innovations in Systems and Software Engineering","","19","1","10.1007/s11334-022-00507-w","Shweta LambaPreeti SainiJagpreet KaurVinay Kukreja","2023","http://link.springer.com/article/10.1007/s11334-022-00507-w","Article"
"FloWare: a model-driven approach fostering reuse and customisation in IoT applications modelling and development","Software and Systems Modeling","","22","1","10.1007/s10270-022-01026-9","Flavio CorradiniArianna FedeliFabrizio FornariAndrea PoliniBarbara Re","2023","http://link.springer.com/article/10.1007/s10270-022-01026-9","Article"
"A new technique for classification method with imbalanced training data","International Journal of Information Technology","","16","4","10.1007/s41870-024-01740-1","Sufal Das","2024","http://link.springer.com/article/10.1007/s41870-024-01740-1","Article"
"Performance evaluation of anti-predatory nature-inspired algorithm for small scale to very high scale problems","International Journal of Information Technology","","","","10.1007/s41870-024-01952-5","Rohit Kumar SachanShrabani MallickAbhishek Singh Verma","2024","http://link.springer.com/article/10.1007/s41870-024-01952-5","Article"
"Enhanced detection of fabricated news through sentiment analysis and text feature extraction","International Journal of Information Technology","","","","10.1007/s41870-024-01971-2","Poonam NarangAjay Vikram SinghHimanshu Monga","2024","http://link.springer.com/article/10.1007/s41870-024-01971-2","Article"
"A distributed task orchestration scheme in collaborative vehicular cloud edge networks","Computing","","106","4","10.1007/s00607-022-01119-9","Shilpi MittalRajan Kumar DudejaRasmeet Singh BaliGagangeet Singh Aujla","2024","http://link.springer.com/article/10.1007/s00607-022-01119-9","Article"
"A hybrid bioinspired model for improving the efficiency of correlative auscultation analysis","International Journal of Information Technology","","15","7","10.1007/s41870-023-01429-x","Divya SinghBikesh Kumar SinghAjoy Kumar Behera","2023","http://link.springer.com/article/10.1007/s41870-023-01429-x","Article"
"DeepNews: enhancing fake news detection using generative round network (GRN)","International Journal of Information Technology","","","","10.1007/s41870-024-02017-3","Putra WandaMohammad Diqi","2024","http://link.springer.com/article/10.1007/s41870-024-02017-3","Article"
"International revenue share fraud prediction on the 5G edge using federated learning","Computing","","105","9","10.1007/s00607-023-01174-w","Luís FerreiraLeopoldo SilvaFrancisco MoraisCarlos Manuel MartinsPedro Miguel PiresHelena RodriguesPaulo CortezAndré Pilastri","2023","http://link.springer.com/article/10.1007/s00607-023-01174-w","Article"
"Quantitative and qualitative evaluation of TCP target ports through active network telescope","International Journal of Information Technology","","16","5","10.1007/s41870-024-01816-y","Madhvee KoriV. Anil KumarRajneesh PachouriAnurag JainH. N. V. Dutt","2024","http://link.springer.com/article/10.1007/s41870-024-01816-y","Article"
"Regularity and quantification: a new approach to verify distributed protocols","Innovations in Systems and Software Engineering","","19","4","10.1007/s11334-022-00460-8","Aman GoelKarem A. Sakallah","2023","http://link.springer.com/article/10.1007/s11334-022-00460-8","Article"
"Cloud data center cost management using virtual machine consolidation with an improved artificial feeding birds algorithm","Computing","","106","6","10.1007/s00607-024-01267-0","Mohammad Ali Monshizadeh NaeenHamid Reza GhaffariHossein Monshizadeh Naeen","2024","http://link.springer.com/article/10.1007/s00607-024-01267-0","Article"
"1-D CNNs with lock-free asynchronous adaptive stochastic gradient descent algorithm for classification of astronomical spectra","Computing","","106","3","10.1007/s00607-023-01240-3","Chuandong QinYu Cao","2024","http://link.springer.com/article/10.1007/s00607-023-01240-3","Article"
"On utilizing modified TOPSIS with R-norm q-rung picture fuzzy information measure green supplier selection","International Journal of Information Technology","","15","5","10.1007/s41870-023-01304-9","Himanshu DhumrasRakesh K. BajajVarun Shukla","2023","http://link.springer.com/article/10.1007/s41870-023-01304-9","Article"
"Debunking multi-lingual social media posts using deep learning","International Journal of Information Technology","","15","5","10.1007/s41870-023-01288-6","Bina KotiyalHeman PathakNipur Singh","2023","http://link.springer.com/article/10.1007/s41870-023-01288-6","Article"
"A spectral–spatial 3D-convolutional capsule network for hyperspectral image classification with limited training samples","International Journal of Information Technology","","15","1","10.1007/s41870-022-01075-9","Deepak KumarDharmender Kumar","2023","http://link.springer.com/article/10.1007/s41870-022-01075-9","Article"
"Automatic feature selection using enhanced dynamic Crow Search Algorithm","International Journal of Information Technology","","15","5","10.1007/s41870-023-01319-2","Rajesh RanjanJitender Kumar Chhabra","2023","http://link.springer.com/article/10.1007/s41870-023-01319-2","Article"
"Motion-Inspired Real-Time Garment Synthesis with Temporal-Consistency","Journal of Computer Science and Technology","","38","6","10.1007/s11390-022-1887-1","Yu-Kun WeiMin ShiWen-Ke FengDeng-Ming ZhuTian-Lu Mao","2023","http://link.springer.com/article/10.1007/s11390-022-1887-1","Article"
"Constructing a hybrid activation and parameter-fusion based CNN medical image classifier","International Journal of Information Technology","","16","5","10.1007/s41870-024-01798-x","Mohammed MareeTareq ZanoonAlya’ DababatMays Awwad","2024","http://link.springer.com/article/10.1007/s41870-024-01798-x","Article"
"A Transformer-Assisted Cascade Learning Network for Choroidal Vessel Segmentation","Journal of Computer Science and Technology","","39","2","10.1007/s11390-024-3679-2","Yang Wen 温　阳Yi-Lin Wu 吴依林Lei Bi 毕　磊Wu-Zhen Shi 石武祯Xiao-Xiao Liu 刘潇骁Yu-Peng Xu 许毓鹏Xun Xu 许　迅Wen-Ming Cao 曹文明David Dagan Feng 冯大淦","2024","http://link.springer.com/article/10.1007/s11390-024-3679-2","Article"
"Optimized intelligent framework for peak-to-average power ratio reduction in filter bank multicarrier","International Journal of Information Technology","","15","6","10.1007/s41870-023-01366-9","V. Sudarshani KatakshamP. Siddaiah","2023","http://link.springer.com/article/10.1007/s41870-023-01366-9","Article"
"Revealing hidden patterns in Indian migration using network analytics","International Journal of Information Technology","","16","4","10.1007/s41870-023-01703-y","Sharanjit KaurSarita AzadAyushi Gupta","2024","http://link.springer.com/article/10.1007/s41870-023-01703-y","Article"
"Secure privacy-enhanced fast authentication and key management for IoMT-enabled smart healthcare systems","Computing","","106","7","10.1007/s00607-024-01291-0","Sriramulu BojjaganiDenslin BrabinKalai KumarNeeraj Kumar SharmaUmamaheswararao Batta","2024","http://link.springer.com/article/10.1007/s00607-024-01291-0","Article"
"Decoding emotional patterns using NIG modeling of EEG signals in the CEEMDAN domain","International Journal of Information Technology","","","","10.1007/s41870-024-02001-x","Nalini PusarlaAnurag SinghShrivishal Tripathi","2024","http://link.springer.com/article/10.1007/s41870-024-02001-x","Article"
"Assessment of physiological states from contactless face video: a sparse representation approach","Computing","","105","4","10.1007/s00607-021-01028-3","Abdul QayyumMoona MazherAliyu NuhuAbdesslam BenzinouAamir Saeed MalikImran Razzak","2023","http://link.springer.com/article/10.1007/s00607-021-01028-3","Article"
"Context-aware modeling for knowledge-intensive medicinal product development processes","Software and Systems Modeling","","22","2","10.1007/s10270-022-01070-5","Zeynep Ozturk YurtRik EshuisAnna WilbikIrene Vanderfeesten","2023","http://link.springer.com/article/10.1007/s10270-022-01070-5","Article"
"Optimizing deep learning architectures for novel view synthesis: Investigating the impact of NeRF MLP parameters on complex scenes","International Journal of Information Technology","","16","4","10.1007/s41870-023-01470-w","Kanika SinglaParma Nand","2024","http://link.springer.com/article/10.1007/s41870-023-01470-w","Article"
"A study on boundary detection in wireless sensor networks","Innovations in Systems and Software Engineering","","19","2","10.1007/s11334-022-00488-w","Srabani KunduNabanita Das","2023","http://link.springer.com/article/10.1007/s11334-022-00488-w","Article"
"Going beyond templates: composition and evolution in nested OSTRICH","Software and Systems Modeling","","","","10.1007/s10270-024-01178-w","João Costa SecoHugo LourençoJoana ParreiraCarla Ferreira","2024","http://link.springer.com/article/10.1007/s10270-024-01178-w","Article"
"Citation recommendation using modified HITS algorithm","Computing","","106","7","10.1007/s00607-023-01213-6","Monachary KammariS. Durga Bhavani","2024","http://link.springer.com/article/10.1007/s00607-023-01213-6","Article"
"Wader hunt optimization based UNET model for change detection in satellite images","International Journal of Information Technology","","15","3","10.1007/s41870-023-01167-0","Chafle Pratiksha VasantraoNeha Gupta","2023","http://link.springer.com/article/10.1007/s41870-023-01167-0","Article"
"Supporting data-aware processes with MERODE","Software and Systems Modeling","","22","6","10.1007/s10270-023-01095-4","Monique SnoeckCharlotte VerbruggenJohannes De SmedtJochen De Weerdt","2023","http://link.springer.com/article/10.1007/s10270-023-01095-4","Article"
"MoDMaCAO: a model-driven framework for the design, validation and configuration management of cloud applications based on OCCI","Software and Systems Modeling","","22","3","10.1007/s10270-022-01024-x","Faiez ZalilaFabian KorteJohannes ErbelStéphanie ChallitaJens GrabowskiPhilippe Merle","2023","http://link.springer.com/article/10.1007/s10270-022-01024-x","Article"
"Neighborhood ternary co-occurrence for natural and texture image retrieval","International Journal of Information Technology","","15","4","10.1007/s41870-023-01238-2","Megha Agarwal","2023","http://link.springer.com/article/10.1007/s41870-023-01238-2","Article"
